region,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,mam,jja,son,djf,ann
East Midlands,3.08,3.17,5.2,7.35,10.62,13.7,15.57,15.45,13.27,10.1,5.88,3.92,7.73,14.92,9.75,3.4,8.97
East of England,3.38,3.57,5.62,7.82,11.22,14.29,16.26,16.23,14.07,10.85,6.42,4.31,8.22,15.61,10.45,5.73,9.54
East Scotland,1.69,1.67,3.33,5.4,8.29,11.31,12.86,12.66,10.55,7.89,3.94,2.53,5.68,12.29,7.46,3,6.87
London,4.24,4.4,6.41,8.66,12.13,15.26,17.33,17.02,14.7,11.48,7.17,5.13,9.07,16.55,11.12,7,10.36
North East England,2.3,2.3,4,5.96,8.89,11.97,13.71,13.59,11.62,8.79,4.82,3.12,6.29,13.1,8.41,3.93,7.62
North West England,2.98,2.99,4.64,6.84,10.07,12.92,14.52,14.41,12.32,9.59,5.55,3.77,7.19,13.96,9.16,4.96,8.41
Northern Ireland,3.67,3.7,5.17,7.06,9.67,12.47,14.02,13.78,11.88,9.5,5.76,4.51,7.3,13.43,9.05,6.04,8.46
North Scotland,2.1,2,3.39,5.21,8.09,10.73,12.05,12.03,10.08,7.8,4.1,2.9,5.57,11.61,7.33,3.57,6.73
South East England,3.76,3.86,5.75,7.96,11.26,14.3,16.35,16.16,13.96,10.86,6.68,4.68,8.33,15.62,10.5,6.26,9.66
South West England,4.32,4.23,5.87,7.89,10.87,13.89,15.81,15.62,13.58,10.78,7,5.28,8.21,15.12,10.46,7.04,9.62
Wales,3.57,3.33,4.94,6.96,9.98,12.82,14.59,14.45,12.45,9.84,6.17,4.51,7.3,13.97,9.49,5.82,8.66
West Midlands,3.29,3.28,5.26,7.48,10.7,13.74,15.63,15.37,13.1,10.02,6,4.12,7.82,14.93,9.71,5.44,9.03
West Scotland,2.78,2.68,4.05,6.14,9.06,11.75,13.13,13.02,11.07,8.72,4.93,3.61,6.42,12.64,8.25,4.62,7.61
Yorkshire & The Humber,2.82,2.85,4.71,6.79,9.95,13.04,14.79,14.7,12.63,9.59,5.5,3.62,7.15,14.19,9.24,4.73,8.45
