ADMINISTRATIVE REGION          Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
East Midlands                12.71     12.24      8.56      4.36      0.89      0.07      0.00      0.01      0.14      1.24      6.63     10.79
East of England              12.02     11.06      7.46      3.43      0.57      0.05      0.00      0.00      0.06      0.82      5.77      9.74
East Scotland                16.37     15.65     12.99      8.46      2.20      0.23      0.02      0.09      0.59      2.40     10.22     14.32
London                       10.05      9.18      5.54      2.01      0.24      0.03      0.00      0.00      0.03      0.37      4.28      8.30
North East England           14.60     13.97     10.96      6.45      1.70      0.17      0.01      0.03      0.36      1.84      8.35     12.61
North Scotland               14.75     14.62     12.04      7.96      2.08      0.23      0.03      0.09      0.45      1.82      8.54     12.54
North West England           12.68     12.35      9.18      5.19      1.22      0.11      0.01      0.02      0.23      1.39      7.22     11.09
Northern Ireland             11.22     10.48      7.83      4.56      1.13      0.06      0.01      0.01      0.22      0.85      6.15      8.72
South East England           11.78     11.16      8.01      3.92      0.74      0.05      0.00      0.00      0.08      1.06      6.19     10.16
South West England            9.99      9.94      6.84      3.40      0.62      0.04      0.00      0.01      0.09      0.77      4.92      8.31
Wales                        11.29     11.54      8.65      4.83      1.20      0.13      0.01      0.02      0.23      1.05      5.68      9.49
West Midlands                12.08     12.05      8.50      4.39      0.89      0.06      0.00      0.01      0.14      1.26      6.47     10.46
West Scotland                12.81     12.48      9.85      5.89      1.56      0.13      0.01      0.04      0.36      1.50      7.57     10.78
Yorkshire & The Humber       13.24     12.72      9.19      4.86      1.05      0.08      0.00      0.01      0.17      1.26      6.96     11.31

RIVER BASIN                    Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
Anglian                      12.14     11.31      7.65      3.62      0.63      0.05      0.00      0.00      0.07      0.92      5.97      9.96
Argyll                       12.67     12.41     10.23      6.38      1.62      0.15      0.02      0.04      0.32      1.23      7.18     10.49
Clyde                        13.33     12.97     10.15      5.99      1.58      0.13      0.01      0.04      0.39      1.61      7.98     11.30
Dee                          12.56     12.78      9.61      5.59      1.48      0.20      0.01      0.03      0.29      1.42      6.76     10.83
Forth                        13.91     13.42     10.29      5.99      1.37      0.10      0.01      0.03      0.36      1.69      8.49     12.05
Humber                       12.97     12.52      8.93      4.63      0.98      0.07      0.00      0.01      0.16      1.25      6.78     11.05
Neagh Bann                   11.38     10.55      7.89      4.54      1.08      0.05      0.00      0.01      0.21      0.88      6.46      9.05
North East Scotland          17.83     17.00     14.66     10.11      2.78      0.36      0.05      0.15      0.76      2.84     11.17     15.62
North Eastern Ireland         9.65      9.12      6.61      3.50      0.78      0.04      0.00      0.01      0.12      0.53      4.69      7.28
North Highland               16.38     16.16     13.27      8.83      2.38      0.27      0.03      0.10      0.54      2.30      9.73     14.01
North West England           12.32     12.00      8.75      4.74      1.03      0.08      0.01      0.02      0.19      1.22      6.79     10.68
North Western Ireland        11.92     11.18      8.44      5.21      1.39      0.09      0.01      0.02      0.27      1.00      6.61      9.11
Northumbria                  14.73     14.11     11.15      6.62      1.79      0.19      0.01      0.03      0.37      1.87      8.42     12.74
Orkney and Shetland           9.42      9.42      6.90      4.86      0.93      0.08      0.01      0.03      0.15      0.77      4.39      7.68
Severn                       12.03     12.09      8.80      4.71      1.03      0.08      0.01      0.01      0.17      1.21      6.39     10.42
Solway                       13.85     13.45     10.71      6.58      1.86      0.16      0.01      0.05      0.44      1.96      8.59     12.07
South East England           11.29     10.42      7.48      3.53      0.64      0.04      0.00      0.00      0.07      0.91      5.81      9.67
South West England            9.53      9.44      6.48      3.21      0.59      0.03      0.00      0.01      0.09      0.70      4.59      7.78
Tay                          17.33     16.49     14.16      9.53      2.49      0.27      0.03      0.11      0.66      2.51     11.05     15.30
Thames                       12.01     11.55      8.15      3.98      0.76      0.06      0.00      0.01      0.09      1.06      6.21     10.32
Tweed                        16.03     15.37     12.68      7.81      2.07      0.16      0.01      0.05      0.53      2.34      9.88     14.07
West Highland                11.36     11.62      8.90      5.35      1.21      0.09      0.01      0.03      0.18      0.87      5.87      9.22
Western Wales                10.16     10.42      7.50      4.06      0.96      0.09      0.01      0.02      0.18      0.82      4.86      8.40
