ADMINISTRATIVE REGION          Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
East Midlands                73.11     72.86     71.17     71.11     67.57     68.82     68.98     66.63     66.50     68.04     68.61     71.04
East of England              73.41     72.27     70.43     69.71     66.07     67.11     67.41     64.13     64.53     66.18     68.45     71.30
East Scotland                75.51     74.49     74.59     72.92     74.47     75.46     76.51     75.08     74.58     72.88     71.68     73.34
London                       74.88     73.33     69.68     68.39     64.95     65.69     65.11     62.77     63.78     66.22     68.74     72.65
North East England           73.78     74.66     73.55     72.53     72.14     73.00     73.76     71.91     71.21     70.99     69.72     71.50
North Scotland               77.10     73.97     75.36     72.48     74.67     76.41     80.20     77.24     77.26     74.53     74.78     75.81
North West England           76.09     74.02     73.73     71.32     70.06     71.38     72.97     71.50     72.18     72.31     72.34     73.99
Northern Ireland             76.30     74.79     73.77     69.18     69.27     72.93     77.66     74.68     73.45     74.07     73.54     75.61
South East England           74.56     72.73     69.64     67.59     65.60     66.05     65.11     62.72     63.61     66.86     68.92     72.50
South West England           75.65     74.52     70.67     66.42     66.58     67.62     66.31     65.46     66.07     69.91     70.85     74.09
Wales                        77.07     75.18     72.45     68.26     67.78     69.46     69.90     69.09     69.95     72.43     73.30     75.64
West Midlands                75.32     74.98     72.07     70.77     68.62     69.60     69.24     68.13     68.53     70.54     71.27     73.61
West Scotland                77.43     74.50     75.11     70.84     71.48     73.38     75.98     74.10     75.26     74.94     73.42     75.36
Yorkshire & The Humber       73.19     73.85     72.35     71.96     69.59     70.75     71.68     69.60     68.96     69.38     69.30     70.94

RIVER BASIN                    Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
Anglian                      73.08     72.25     70.59     70.18     66.39     67.56     67.84     64.66     64.86     66.50     68.28     70.97
Argyll                       78.45     75.10     75.49     70.16     71.55     73.91     77.89     75.32     76.79     76.37     74.90     76.72
Clyde                        77.56     74.79     75.42     71.55     72.13     73.69     75.56     74.23     75.40     74.87     73.63     75.48
Dee                          76.96     75.58     73.41     70.46     68.82     70.43     71.72     70.87     71.28     72.71     73.67     75.66
Forth                        75.08     73.77     74.05     72.37     73.51     74.52     75.17     74.01     73.82     72.60     71.01     72.72
Humber                       73.48     73.78     72.07     71.71     69.05     70.16     70.73     68.76     68.41     69.24     69.44     71.33
Neagh Bann                   76.03     74.66     73.63     69.23     69.36     72.89     77.19     74.51     73.13     73.90     73.17     75.27
North East Scotland          75.32     74.39     74.79     73.64     75.43     76.50     78.29     76.27     75.35     72.49     72.66     73.60
North Eastern Ireland        75.99     74.45     73.41     69.54     69.64     72.59     76.35     73.90     72.97     73.70     72.97     75.05
North Highland               77.01     73.96     75.77     73.90     75.82     77.38     80.34     77.83     77.47     74.09     74.92     75.69
North West England           75.80     74.00     73.31     71.01     69.56     70.93     72.51     71.14     71.71     72.00     72.23     73.97
North Western Ireland        76.98     75.04     74.05     67.94     67.80     72.51     78.74     74.82     73.86     74.75     74.62     76.72
Northumbria                  74.02     74.82     73.65     72.60     72.10     72.98     73.82     71.92     71.30     71.14     69.95     71.74
Orkney and Shetland          76.52     74.66     75.71     73.04     76.48     77.06     81.10     77.55     76.67     74.94     74.78     75.85
Severn                       76.03     75.21     71.91     69.45     68.27     69.24     68.63     67.61     68.30     70.94     71.56     74.29
Solway                       77.04     74.29     75.07     71.71     71.54     72.95     74.73     73.02     74.01     73.76     72.41     74.37
South East England           74.24     72.05     69.05     66.54     64.82     65.14     64.09     61.59     62.61     66.33     68.51     72.23
South West England           75.81     74.67     70.68     65.74     66.24     67.43     66.10     65.42     66.01     70.04     71.09     74.38
Tay                          76.57     75.30     74.86     72.61     74.66     75.61     76.63     75.53     75.22     73.95     72.31     74.48
Thames                       74.89     73.39     70.14     68.54     66.22     66.79     66.02     63.75     64.54     67.29     69.26     72.79
Tweed                        75.97     75.08     75.17     72.93     73.72     74.60     75.04     73.82     73.88     72.75     71.14     73.16
West Highland                76.07     72.30     73.92     69.94     72.23     74.79     80.29     76.24     76.65     74.34     73.88     75.00
Western Wales                76.59     74.31     71.96     67.47     67.06     69.05     69.78     68.99     69.72     72.32     73.25     75.32
