ADMINISTRATIVE REGION          Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
East Midlands                19.27     18.13     16.89     12.16      5.49      1.36      0.24      0.33      1.91      6.02     13.18     17.66
East of England              18.55     17.58     16.16     11.28      4.76      1.14      0.19      0.27      1.43      5.34     12.11     16.75
East Scotland                23.06     21.45     20.65     16.12      8.68      2.34      0.72      1.22      3.58      8.52     17.68     21.53
London                       17.49     16.61     15.09      9.97      3.08      0.61      0.06      0.11      0.80      4.47     11.96     16.24
North East England           21.41     19.79     18.85     14.02      7.43      1.85      0.49      0.76      2.73      7.17     15.47     19.81
North Scotland               21.28     20.37     19.38     15.65      8.36      2.65      0.90      1.49      3.60      7.90     16.04     19.30
North West England           18.96     18.12     16.99     13.06      6.38      1.66      0.49      0.69      2.43      6.25     13.78     17.78
Northern Ireland             18.82     17.56     16.04     12.72      6.29      1.30      0.29      0.58      2.14      5.20     13.93     16.22
South East England           18.09     17.39     16.44     11.93      5.15      1.25      0.19      0.33      1.89      5.94     13.23     17.08
South West England           16.09     15.42     14.79     11.43      4.67      1.05      0.17      0.30      1.65      4.78     11.58     14.76
Wales                        16.90     16.79     15.79     12.56      6.00      1.59      0.44      0.64      2.32      5.38     12.17     15.54
West Midlands                18.52     17.81     16.86     12.86      5.95      1.52      0.28      0.45      2.25      6.29     13.33     17.18
West Scotland                19.30     18.56     17.46     14.10      7.55      2.10      0.64      1.06      3.08      6.78     14.70     17.68
Yorkshire & The Humber       19.97     18.46     17.20     12.40      5.78      1.36      0.26      0.39      2.03      6.02     13.77     18.37

RIVER BASIN                    Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
Anglian                      18.69     17.65     16.27     11.43      4.88      1.17      0.19      0.27      1.51      5.43     12.29     16.91
Argyll                       18.98     18.40     17.20     14.22      7.59      2.20      0.67      1.16      3.11      6.40     14.31     17.04
Clyde                        19.89     19.06     17.99     14.39      7.58      2.04      0.64      1.04      3.11      7.02     15.24     18.42
Dee                          18.90     18.56     17.07     13.45      6.67      1.78      0.52      0.71      2.54      6.39     13.61     17.41
Forth                        21.04     19.75     18.68     14.28      7.32      1.71      0.49      0.86      2.89      7.27     15.99     19.70
Humber                       19.61     18.32     17.08     12.39      5.72      1.40      0.26      0.38      2.05      6.09     13.58     18.06
Neagh Bann                   19.06     17.78     16.32     13.11      6.62      1.41      0.32      0.62      2.31      5.58     14.37     16.71
North East Scotland          24.16     22.41     21.68     17.08      9.24      2.78      0.89      1.51      3.93      9.19     18.53     22.44
North Eastern Ireland        17.27     16.34     14.56     11.26      5.21      1.14      0.27      0.51      1.62      4.12     12.01     14.73
North Highland               23.12     21.91     20.94     16.71      9.15      2.91      1.02      1.64      4.07      9.08     17.52     21.21
North West England           18.57     17.80     16.63     12.64      5.96      1.52      0.42      0.59      2.26      5.92     13.36     17.33
North Western Ireland        19.40     17.99     16.54     13.08      6.50      1.24      0.27      0.55      2.21      5.33     14.50     16.44
Northumbria                  21.41     19.82     18.93     14.11      7.52      1.92      0.54      0.80      2.78      7.19     15.46     19.82
Orkney and Shetland          15.90     15.37     14.47     11.41      4.07      1.26      0.38      0.58      1.58      4.31     11.38     14.19
Severn                       18.14     17.56     16.76     12.98      6.04      1.55      0.33      0.53      2.31      6.13     13.18     16.84
Solway                       20.09     19.18     18.23     14.54      8.05      2.26      0.69      1.11      3.24      7.48     15.27     18.76
South East England           17.36     16.73     15.69     11.13      4.57      1.05      0.15      0.27      1.61      5.31     12.66     16.42
South West England           15.61     14.92     14.35     11.18      4.49      1.00      0.16      0.28      1.57      4.47     11.19     14.20
Tay                          23.57     21.99     21.41     17.07      9.45      2.67      0.85      1.46      4.00      8.86     18.26     22.04
Thames                       18.53     17.79     16.79     12.20      5.25      1.29      0.19      0.34      1.89      6.11     13.37     17.39
Tweed                        22.63     21.13     20.30     15.58      8.64      2.22      0.71      1.12      3.47      8.42     17.20     21.17
West Highland                18.43     17.99     16.70     13.70      7.01      2.10      0.62      1.14      2.78      6.20     13.67     16.22
Western Wales                15.76     15.77     14.64     11.69      5.46      1.40      0.38      0.55      2.06      4.74     11.24     14.47
