ADMINISTRATIVE REGION          Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
East Midlands                 5.83      6.09      8.86     11.51     15.29     18.50     20.38     20.19     17.67     13.82      8.94      6.68
East of England               6.15      6.52      9.32     12.00     15.89     19.13     21.11     21.12     18.57     14.63      9.54      7.10
East Scotland                 4.32      4.47      6.52      9.29     12.46     15.58     16.95     16.68     14.11     11.05      6.76      5.17
London                        6.94      7.31     10.02     12.78     16.67     19.95     21.97     21.62     18.98     15.11     10.21      7.87
North East England            4.99      5.07      7.27      9.69     13.05     16.22     17.86     17.64     15.37     12.12      7.69      5.85
North Scotland                4.61      4.78      6.37      8.79     11.90     14.44     15.43     15.42     13.09     10.63      6.66      5.39
North West England            5.54      5.71      7.79     10.62     14.30     17.05     18.41     18.22     15.81     12.71      8.35      6.36
Northern Ireland              6.45      6.61      8.57     11.06     13.91     16.67     17.94     17.69     15.53     12.67      8.76      7.25
South East England            6.56      6.87      9.46     12.21     15.91     19.08     21.18     20.91     18.38     14.63      9.90      7.55
South West England            7.05      7.09      9.27     11.86     15.11     18.21     20.16     19.83     17.50     14.14     10.02      8.04
Wales                         6.12      6.03      8.07     10.72     14.07     16.91     18.60     18.35     16.07     12.97      8.94      7.11
West Midlands                 6.04      6.18      8.85     11.67     15.37     18.49     20.40     19.99     17.37     13.63      9.06      6.89
West Scotland                 5.26      5.32      7.09      9.91     13.16     15.75     16.83     16.65     14.27     11.58      7.67      6.12
Yorkshire & The Humber        5.44      5.56      8.03     10.58     14.25     17.44     19.09     18.92     16.55     12.94      8.33      6.26

RIVER BASIN                    Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
Anglian                       6.08      6.44      9.25     11.90     15.75     18.99     20.95     20.93     18.41     14.48      9.41      6.99
Argyll                        5.22      5.21      6.64      9.33     12.52     14.85     15.71     15.68     13.44     11.00      7.33      6.10
Clyde                         5.10      5.20      7.09      9.98     13.31     15.97     17.10     16.86     14.37     11.58      7.53      5.95
Dee                           5.93      5.83      7.93     10.61     14.20     17.04     18.65     18.41     16.07     12.84      8.60      6.80
Forth                         5.03      5.18      7.29      9.98     13.19     16.19     17.59     17.32     14.81     11.78      7.56      5.87
Humber                        5.60      5.74      8.32     10.94     14.66     17.84     19.57     19.37     16.91     13.22      8.55      6.43
Neagh Bann                    6.47      6.66      8.70     11.23     14.11     16.92     18.22     17.91     15.72     12.79      8.83      7.26
North East Scotland           3.96      4.14      6.08      8.73     11.84     15.01     16.33     16.11     13.60     10.66      6.32      4.80
North Eastern Ireland         6.60      6.56      8.37     10.64     13.45     16.27     17.68     17.44     15.45     12.66      8.90      7.43
North Highland                4.29      4.56      6.42      8.89     12.05     14.81     15.94     15.79     13.35     10.67      6.43      5.05
North West England            5.61      5.77      7.88     10.69     14.40     17.14     18.50     18.33     15.94     12.80      8.45      6.44
North Western Ireland         6.34      6.57      8.53     11.11     13.94     16.61     17.74     17.55     15.36     12.52      8.59      7.12
Northumbria                   4.94      5.01      7.20      9.65     13.04     16.20     17.83     17.61     15.34     12.09      7.65      5.80
Orkney and Shetland           5.55      5.58      6.68      8.52     11.02     13.58     14.77     15.02     12.99     10.83      7.57      6.26
Severn                        6.06      6.15      8.69     11.51     15.10     18.21     20.13     19.69     17.11     13.49      9.07      6.98
Solway                        5.10      5.24      7.22     10.13     13.52     16.31     17.57     17.31     14.83     11.95      7.76      5.94
South East England            6.75      7.00      9.46     12.20     15.83     18.93     21.01     20.85     18.43     14.81     10.19      7.80
South West England            7.26      7.24      9.30     11.81     14.95     18.01     19.94     19.66     17.42     14.17     10.18      8.27
Tay                           3.93      4.07      6.09      9.10     12.26     15.38     16.67     16.34     13.63     10.50      6.28      4.82
Thames                        6.40      6.74      9.44     12.22     16.00     19.25     21.33     20.98     18.35     14.49      9.66      7.35
Tweed                         4.39      4.52      6.69      9.44     12.81     15.89     17.36     17.09     14.53     11.39      6.97      5.23
West Highland                 5.50      5.58      6.84      9.04     12.09     14.20     14.96     15.16     13.11     11.02      7.43      6.29
Western Wales                 6.49      6.39      8.26     10.82     14.05     16.79     18.43     18.25     16.11     13.20      9.29      7.51
