ADMINISTRATIVE REGION          Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
East Midlands              1013.49   1014.57   1013.70   1014.72   1014.71   1016.23   1016.57   1015.36   1015.40   1014.29   1013.18   1013.53
East of England            1014.22   1014.90   1014.12   1014.68   1014.87   1016.40   1016.78   1015.64   1015.90   1014.91   1013.65   1014.13
East Scotland              1009.51   1012.13   1010.69   1013.98   1013.81   1014.71   1014.70   1013.41   1012.15   1010.63   1009.86   1009.69
London                     1014.83   1015.16   1014.61   1014.83   1014.96   1016.66   1017.16   1016.02   1016.39   1015.34   1014.26   1014.80
North East England         1011.27   1013.34   1012.07   1014.41   1014.32   1015.49   1015.57   1014.32   1013.63   1012.33   1011.30   1011.38
North Scotland             1007.71   1010.65   1009.25   1013.55   1013.36   1014.15   1014.09   1012.68   1010.84   1008.96   1008.49   1007.99
North West England         1012.11   1013.70   1012.79   1014.61   1014.29   1015.84   1016.14   1014.81   1014.39   1013.00   1012.22   1012.34
Northern Ireland           1010.20   1012.02   1011.63   1014.44   1013.54   1015.40   1016.01   1014.30   1013.28   1011.35   1011.28   1010.83
South East England         1014.97   1015.21   1014.78   1014.94   1015.04   1016.82   1017.35   1016.20   1016.55   1015.42   1014.44   1014.98
South West England         1014.69   1014.88   1014.89   1015.17   1015.01   1017.09   1017.79   1016.49   1016.59   1015.12   1014.51   1014.87
Wales                      1013.33   1014.17   1013.89   1014.95   1014.55   1016.53   1017.15   1015.73   1015.55   1014.01   1013.45   1013.63
West Midlands              1013.66   1014.57   1013.97   1014.90   1014.67   1016.43   1016.91   1015.64   1015.63   1014.35   1013.54   1013.85
West Scotland              1009.90   1012.18   1011.13   1014.16   1013.64   1014.99   1015.24   1013.78   1012.68   1011.01   1010.54   1010.30
Yorkshire & The Humber     1012.42   1014.01   1012.93   1014.59   1014.52   1015.88   1016.09   1014.87   1014.56   1013.37   1012.25   1012.47

RIVER BASIN                    Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
Anglian                    1014.01   1014.80   1013.99   1014.68   1014.83   1016.34   1016.71   1015.55   1015.75   1014.73   1013.50   1013.94
Argyll                     1008.90   1011.43   1010.35   1013.93   1013.36   1014.65   1014.86   1013.32   1011.92   1010.09   1009.77   1009.37
Clyde                      1010.02   1012.31   1011.21   1014.18   1013.69   1015.01   1015.23   1013.79   1012.74   1011.11   1010.60   1010.40
Dee                        1012.87   1014.07   1013.48   1014.83   1014.43   1016.21   1016.71   1015.32   1015.09   1013.68   1012.99   1013.16
Forth                      1009.91   1012.37   1011.05   1014.12   1013.81   1014.90   1014.96   1013.64   1012.52   1011.02   1010.33   1010.17
Humber                     1012.85   1014.23   1013.26   1014.67   1014.59   1016.04   1016.32   1015.10   1014.91   1013.74   1012.66   1012.93
Neagh Bann                 1010.35   1012.16   1011.73   1014.48   1013.60   1015.44   1016.02   1014.35   1013.36   1011.47   1011.37   1010.96
North East Scotland        1008.83   1011.68   1010.11   1013.80   1013.75   1014.44   1014.33   1013.05   1011.56   1009.97   1009.16   1008.93
North Eastern Ireland      1010.48   1012.34   1011.78   1014.47   1013.67   1015.42   1015.95   1014.31   1013.39   1011.57   1011.38   1011.04
North Highland             1007.76   1010.73   1009.25   1013.54   1013.39   1014.13   1014.04   1012.65   1010.83   1008.99   1008.46   1008.00
North West England         1012.31   1013.81   1012.95   1014.64   1014.33   1015.91   1016.26   1014.92   1014.57   1013.19   1012.39   1012.54
North Western Ireland      1009.85   1011.64   1011.42   1014.36   1013.39   1015.34   1016.04   1014.25   1013.11   1011.06   1011.10   1010.55
Northumbria                1011.36   1013.40   1012.14   1014.43   1014.33   1015.53   1015.62   1014.37   1013.70   1012.41   1011.38   1011.46
Orkney and Shetland        1006.65   1009.95   1008.10   1012.93   1013.79   1013.76   1013.22   1012.07   1009.63   1007.90   1006.68   1006.26
Severn                     1013.88   1014.62   1014.19   1014.98   1014.72   1016.58   1017.13   1015.84   1015.85   1014.49   1013.78   1014.09
Solway                     1011.00   1013.00   1011.97   1014.41   1014.00   1015.41   1015.66   1014.29   1013.53   1012.01   1011.36   1011.30
South East England         1015.21   1015.31   1014.95   1014.96   1015.11   1016.93   1017.49   1016.34   1016.74   1015.62   1014.63   1015.20
South West England         1014.79   1014.86   1015.01   1015.22   1015.05   1017.20   1017.94   1016.63   1016.71   1015.19   1014.62   1014.97
Tay                        1009.26   1011.93   1010.51   1013.92   1013.68   1014.61   1014.61   1013.28   1011.96   1010.40   1009.73   1009.51
Thames                     1014.73   1015.11   1014.60   1014.90   1014.96   1016.70   1017.21   1016.05   1016.36   1015.23   1014.25   1014.75
Tweed                      1010.62   1012.89   1011.59   1014.25   1014.04   1015.16   1015.26   1013.99   1013.10   1011.69   1010.83   1010.79
West Highland              1007.38   1010.30   1009.07   1013.55   1013.15   1014.11   1014.16   1012.64   1010.75   1008.70   1008.48   1007.83
Western Wales              1013.19   1014.03   1013.82   1014.94   1014.51   1016.53   1017.18   1015.71   1015.49   1013.87   1013.37   1013.50
