ADMINISTRATIVE REGION          Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
East Midlands                 3.08      3.17      5.20      7.35     10.62     13.70     15.57     15.45     13.27     10.10      5.88      3.92
East of England               3.38      3.57      5.62      7.82     11.22     14.29     16.26     16.23     14.07     10.85      6.42      4.31
East Scotland                 1.69      1.67      3.33      5.40      8.29     11.31     12.86     12.66     10.55      7.89      3.94      2.53
London                        4.24      4.40      6.41      8.66     12.13     15.26     17.33     17.02     14.70     11.48      7.17      5.13
North East England            2.30      2.30      4.00      5.96      8.89     11.97     13.71     13.59     11.62      8.79      4.82      3.12
North Scotland                2.10      2.00      3.39      5.21      8.09     10.73     12.05     12.03     10.08      7.80      4.10      2.90
North West England            2.98      2.99      4.64      6.84     10.07     12.92     14.52     14.41     12.32      9.59      5.55      3.77
Northern Ireland              3.67      3.70      5.17      7.06      9.67     12.47     14.02     13.78     11.88      9.50      5.76      4.51
South East England            3.76      3.86      5.75      7.96     11.26     14.30     16.35     16.16     13.96     10.86      6.68      4.68
South West England            4.32      4.23      5.87      7.89     10.87     13.89     15.81     15.62     13.58     10.78      7.00      5.28
Wales                         3.57      3.33      4.94      6.96      9.98     12.82     14.59     14.45     12.45      9.84      6.17      4.51
West Midlands                 3.29      3.28      5.26      7.48     10.70     13.74     15.63     15.37     13.10     10.02      6.00      4.12
West Scotland                 2.78      2.68      4.05      6.14      9.06     11.75     13.13     13.02     11.07      8.72      4.93      3.61
Yorkshire & The Humber        2.82      2.85      4.71      6.79      9.95     13.04     14.79     14.70     12.63      9.59      5.50      3.62

RIVER BASIN                    Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
Anglian                       3.30      3.48      5.53      7.71     11.07     14.14     16.09     16.05     13.90     10.68      6.29      4.20
Argyll                        2.85      2.68      3.80      5.78      8.68     11.15     12.41     12.41     10.59      8.45      4.83      3.72
Clyde                         2.59      2.51      4.00      6.15      9.12     11.89     13.30     13.15     11.10      8.65      4.76      3.41
Dee                           3.18      2.99      4.68      6.72      9.84     12.72     14.48     14.31     12.26      9.50      5.72      4.02
Forth                         2.43      2.42      4.07      6.16      9.07     12.04     13.57     13.40     11.30      8.66      4.70      3.23
Humber                        2.93      2.97      4.89      7.01     10.21     13.30     15.09     14.96     12.83      9.75      5.64      3.75
Neagh Bann                    3.67      3.73      5.24      7.15      9.78     12.62     14.19     13.91     11.97      9.55      5.76      4.48
North East Scotland           1.26      1.19      2.89      4.85      7.73     10.78     12.32     12.13     10.05      7.46      3.52      2.12
North Eastern Ireland         4.01      3.93      5.26      7.04      9.62     12.40     13.98     13.83     12.08      9.75      6.15      4.87
North Highland                1.61      1.56      3.19      5.06      7.98     10.78     12.19     12.06      9.99      7.52      3.69      2.41
North West England            3.10      3.10      4.75      6.96     10.23     13.07     14.67     14.57     12.48      9.72      5.69      3.90
North Western Ireland         3.48      3.54      5.05      6.97      9.55     12.32     13.82     13.59     11.65      9.30      5.52      4.33
Northumbria                   2.25      2.25      3.94      5.92      8.87     11.94     13.68     13.56     11.59      8.77      4.79      3.08
Orkney and Shetland           3.43      3.32      4.19      5.61      8.10     10.57     11.96     12.22     10.50      8.56      5.34      4.08
Severn                        3.36      3.29      5.19      7.38     10.55     13.59     15.48     15.21     12.98      9.99      6.07      4.24
Solway                        2.52      2.48      4.01      6.19      9.18     12.04     13.54     13.38     11.32      8.81      4.85      3.28
South East England            4.01      4.08      5.90      8.11     11.40     14.38     16.43     16.31     14.20     11.18      7.02      4.97
South West England            4.53      4.41      5.96      7.90     10.81     13.79     15.70     15.54     13.57     10.87      7.17      5.51
Tay                           1.37      1.34      2.93      5.13      8.05     11.06     12.58     12.34     10.16      7.49      3.54      2.24
Thames                        3.59      3.72      5.69      7.91     11.24     14.34     16.39     16.13     13.86     10.69      6.46      4.49
Tweed                         1.79      1.74      3.49      5.58      8.51     11.55     13.16     12.97     10.89      8.13      4.14      2.60
West Highland                 3.17      3.03      4.13      5.81      8.65     10.98     12.14     12.27     10.53      8.53      5.02      3.96
Western Wales                 3.98      3.72      5.21      7.18     10.13     12.90     14.64     14.55     12.66     10.18      6.56      4.93
