ADMINISTRATIVE REGION          Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
East Midlands                 0.33      0.24      1.54      3.21      5.95      8.91     10.77     10.73      8.89      6.39      2.82      1.15
East of England               0.63      0.62      1.91      3.64      6.54      9.43     11.41     11.34      9.58      7.07      3.32      1.54
East Scotland                -0.95     -1.15      0.16      1.53      4.14      7.06      8.78      8.66      7.01      4.74      1.15     -0.14
London                        1.57      1.51      2.80      4.55      7.57     10.56     12.67     12.40     10.42      7.85      4.15      2.42
North East England           -0.36     -0.45      0.75      2.22      4.71      7.69      9.52      9.52      7.87      5.48      1.98      0.41
North Scotland               -0.40     -0.77      0.46      1.69      4.33      7.04      8.69      8.65      7.11      5.00      1.58      0.41
North West England            0.44      0.28      1.50      3.07      5.86      8.82     10.66     10.61      8.85      6.47      2.76      1.17
Northern Ireland              0.89      0.79      1.79      3.07      5.44      8.28     10.10      9.88      8.24      6.34      2.76      1.76
South East England            0.95      0.85      2.04      3.71      6.61      9.51     11.52     11.39      9.54      7.10      3.46      1.81
South West England            1.61      1.40      2.48      3.92      6.64      9.57     11.46     11.41      9.67      7.42      3.98      2.52
Wales                         1.01      0.63      1.82      3.21      5.90      8.73     10.58     10.56      8.84      6.71      3.39      1.89
West Midlands                 0.53      0.38      1.67      3.29      6.04      9.01     10.88     10.75      8.83      6.41      2.93      1.34
West Scotland                 0.31      0.05      1.07      2.43      5.00      7.79      9.46      9.43      7.91      5.91      2.26      1.08
Yorkshire & The Humber        0.20      0.15      1.40      3.00      5.65      8.64     10.50     10.48      8.73      6.24      2.68      0.99

RIVER BASIN                    Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
Anglian                       0.54      0.52      1.81      3.53      6.39      9.29     11.23     11.17      9.41      6.89      3.18      1.42
Argyll                        0.51      0.17      1.04      2.30      4.90      7.49      9.14      9.17      7.81      5.98      2.42      1.37
Clyde                         0.10     -0.15      0.98      2.38      4.98      7.85      9.53      9.46      7.88      5.76      2.04      0.87
Dee                           0.43      0.17      1.45      2.83      5.48      8.39     10.30     10.20      8.44      6.15      2.83      1.26
Forth                        -0.15     -0.31      0.91      2.39      5.00      7.92      9.58      9.52      7.85      5.59      1.90      0.60
Humber                        0.27      0.19      1.46      3.08      5.77      8.75     10.61     10.57      8.75      6.28      2.74      1.07
Neagh Bann                    0.84      0.77      1.78      3.09      5.47      8.35     10.18      9.92      8.24      6.31      2.69      1.67
North East Scotland          -1.44     -1.74     -0.27      0.99      3.64      6.56      8.30      8.14      6.51      4.23      0.71     -0.57
North Eastern Ireland         1.46      1.32      2.20      3.47      5.81      8.55     10.30     10.25      8.76      6.88      3.47      2.35
North Highland               -1.10     -1.44      0.02      1.28      3.94      6.77      8.47      8.34      6.67      4.39      0.99     -0.26
North West England            0.58      0.43      1.64      3.25      6.09      9.03     10.87     10.83      9.05      6.65      2.95      1.34
North Western Ireland         0.62      0.49      1.55      2.82      5.16      8.05      9.89      9.60      7.94      6.06      2.43      1.53
Northumbria                  -0.40     -0.49      0.69      2.18      4.68      7.67      9.51      9.51      7.85      5.47      1.96      0.37
Orkney and Shetland           1.23      1.01      1.70      2.72      5.21      7.60      9.18      9.43      8.01      6.27      3.11      1.87
Severn                        0.65      0.43      1.70      3.25      6.00      8.97     10.84     10.72      8.85      6.47      3.05      1.48
Solway                       -0.08     -0.30      0.84      2.28      4.85      7.81      9.54      9.47      7.83      5.67      1.96      0.59
South East England            1.28      1.17      2.33      4.01      6.96      9.82     11.83     11.77      9.97      7.58      3.88      2.15
South West England            1.82      1.60      2.63      4.01      6.68      9.58     11.46     11.43      9.74      7.58      4.18      2.76
Tay                          -1.27     -1.46     -0.19      1.20      3.86      6.77      8.50      8.36      6.70      4.50      0.82     -0.42
Thames                        0.78      0.69      1.92      3.60      6.47      9.43     11.45     11.28      9.38      6.88      3.26      1.63
Tweed                        -0.79     -1.01      0.31      1.72      4.20      7.22      8.94      8.85      7.25      4.87      1.32     -0.03
West Highland                 0.90      0.53      1.50      2.66      5.26      7.79      9.35      9.42      8.02      6.11      2.70      1.67
Western Wales                 1.47      1.06      2.19      3.55      6.23      9.03     10.87     10.88      9.23      7.17      3.84      2.34
