ADMINISTRATIVE REGION          Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
East Midlands                 1.13      0.93      1.08      1.14      1.18      1.55      1.31      1.73      1.48      1.34      1.50      1.56
East of England               0.70      0.51      0.66      0.83      0.93      1.31      1.26      1.38      1.30      1.42      1.38      1.11
East Scotland                 3.54      2.18      2.55      1.58      2.05      1.95      2.23      2.83      2.96      3.42      3.34      3.21
London                        1.08      0.64      0.99      0.98      1.21      1.38      1.23      1.47      1.39      1.66      1.58      1.39
North East England            2.06      1.36      1.68      1.24      1.48      1.63      1.86      2.38      1.99      1.88      2.29      2.11
North Scotland                5.36      3.49      4.28      2.23      2.25      2.52      2.74      3.64      4.80      5.70      6.07      5.55
North West England            3.47      2.22      2.71      1.87      2.04      2.40      2.52      3.44      3.76      4.00      3.90      3.68
Northern Ireland              3.31      2.23      2.30      1.58      1.61      1.82      1.63      2.58      2.93      3.47      3.03      3.15
South East England            1.99      1.22      1.51      1.11      1.25      1.47      1.27      1.63      1.87      2.27      2.38      2.30
South West England            3.52      2.53      2.40      1.53      1.79      1.80      1.68      2.25      2.53      2.95      3.18      3.80
Wales                         4.95      3.31      3.44      2.56      2.53      2.47      2.48      3.34      4.04      4.73      5.05      5.43
West Midlands                 1.50      1.19      1.20      1.09      1.36      1.58      1.34      1.76      1.78      1.58      1.79      2.02
West Scotland                 6.15      3.84      4.66      2.49      2.63      2.78      3.28      4.34      5.83      6.35      6.07      5.88
Yorkshire & The Humber        1.99      1.46      1.68      1.43      1.42      1.64      1.69      2.23      2.06      2.03      2.25      2.25

RIVER BASIN                    Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
Anglian                       0.70      0.55      0.70      0.86      0.96      1.32      1.24      1.43      1.28      1.30      1.32      1.14
Argyll                        8.22      5.18      6.43      3.17      3.19      3.48      4.28      5.39      7.62      8.57      8.18      8.00
Clyde                         5.46      3.36      4.18      2.19      2.45      2.48      2.94      4.00      5.33      5.66      5.58      5.19
Dee                           2.99      2.13      2.22      1.71      1.85      1.80      1.72      2.22      2.74      3.12      3.60      3.59
Forth                         3.56      2.31      2.84      1.59      1.99      2.05      2.30      2.97      3.44      3.56      3.62      3.37
Humber                        1.68      1.30      1.44      1.33      1.35      1.64      1.53      2.01      1.85      1.76      1.96      2.02
Neagh Bann                    3.07      2.03      2.05      1.51      1.49      1.69      1.58      2.45      2.79      3.23      2.75      2.85
North East Scotland           2.98      1.73      1.97      1.47      1.80      1.79      2.02      2.60      2.39      2.99      3.05      2.59
North Eastern Ireland         3.22      2.16      2.18      1.60      1.54      1.80      1.53      2.50      2.92      3.35      2.93      2.98
North Highland                4.30      2.83      3.38      1.78      1.89      2.10      2.11      2.98      3.58      4.36      5.09      4.44
North West England            3.56      2.29      2.84      2.02      2.13      2.51      2.55      3.56      3.89      4.16      4.04      3.78
North Western Ireland         3.70      2.55      2.72      1.67      1.81      2.01      1.76      2.84      3.14      3.88      3.49      3.68
Northumbria                   2.16      1.44      1.76      1.28      1.50      1.66      1.89      2.46      2.09      1.97      2.38      2.22
Orkney and Shetland           3.09      2.17      2.66      1.28      1.31      1.32      1.40      2.18      3.25      3.82      3.96      3.60
Severn                        2.73      1.99      1.99      1.53      1.77      1.81      1.61      2.18      2.53      2.48      2.79      3.22
Solway                        4.66      2.94      3.34      2.06      2.26      2.41      2.67      3.65      4.35      4.71      4.48      4.55
South East England            2.53      1.50      1.80      1.27      1.30      1.51      1.30      1.73      2.14      2.73      2.94      2.74
South West England            4.06      2.89      2.68      1.70      1.88      1.85      1.75      2.38      2.64      3.33      3.52      4.20
Tay                           4.76      3.00      3.45      1.84      2.49      2.16      2.47      3.19      3.67      4.44      4.17      4.25
Thames                        1.50      0.96      1.24      0.98      1.22      1.45      1.27      1.57      1.64      1.84      1.87      1.88
Tweed                         2.74      1.67      2.09      1.39      1.79      1.87      2.16      2.56      2.51      2.59      2.64      2.70
West Highland                 6.76      4.36      5.53      2.89      2.65      3.20      3.63      4.58      6.58      7.63      7.70      7.13
Western Wales                 5.15      3.33      3.60      2.66      2.59      2.66      2.76      3.63      4.32      5.21      5.42      5.69
