ADMINISTRATIVE REGION          Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
East Midlands                 1.89      1.62      1.74      1.73      1.73      1.89      1.65      2.03      1.77      1.75      2.04      2.04
East of England               1.65      1.30      1.47      1.51      1.52      1.68      1.59      1.69      1.66      1.69      1.96      1.78
East Scotland                 3.59      2.65      2.82      1.96      2.35      2.21      2.34      2.83      3.21      3.41      3.43      3.32
London                        1.83      1.34      1.60      1.59      1.70      1.71      1.54      1.75      1.85      1.91      1.99      1.96
North East England            2.54      1.99      2.17      1.80      1.92      1.94      2.04      2.54      2.32      2.31      2.73      2.49
North Scotland                5.15      3.88      4.49      2.66      2.59      2.83      3.00      3.59      4.91      5.48      5.81      5.47
North West England            3.66      2.65      2.95      2.27      2.34      2.61      2.66      3.35      3.72      3.98      3.97      3.85
Northern Ireland              3.74      2.89      2.95      2.20      2.38      2.45      2.23      3.03      3.37      3.74      3.55      3.53
South East England            2.39      1.78      1.94      1.70      1.76      1.80      1.54      1.85      2.15      2.34      2.54      2.49
South West England            3.52      2.82      2.63      1.98      2.11      2.06      1.92      2.38      2.67      3.01      3.33      3.61
Wales                         4.66      3.52      3.52      2.69      2.67      2.65      2.51      3.29      3.89      4.51      4.87      5.08
West Midlands                 2.18      1.82      1.86      1.74      1.90      1.90      1.66      2.08      2.08      1.97      2.21      2.38
West Scotland                 5.52      3.93      4.39      2.68      2.81      2.96      3.27      4.10      5.51      5.78      5.56      5.39
Yorkshire & The Humber        2.49      2.01      2.15      1.93      1.90      2.00      1.91      2.38      2.28      2.33      2.65      2.63

RIVER BASIN                    Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
Anglian                       1.64      1.32      1.49      1.53      1.56      1.70      1.58      1.76      1.63      1.64      1.92      1.77
Argyll                        7.13      5.06      5.90      3.23      3.22      3.55      4.12      4.81      7.02      7.58      7.29      7.14
Clyde                         5.03      3.58      3.98      2.46      2.70      2.75      3.00      3.89      5.09      5.22      5.10      4.84
Dee                           3.42      2.72      2.73      2.25      2.32      2.19      2.06      2.56      3.01      3.31      3.86      3.85
Forth                         3.59      2.71      2.95      1.95      2.32      2.27      2.35      2.98      3.56      3.59      3.64      3.43
Humber                        2.28      1.90      2.00      1.88      1.86      1.98      1.81      2.24      2.10      2.12      2.43      2.43
Neagh Bann                    3.49      2.70      2.71      2.10      2.26      2.30      2.10      2.88      3.11      3.48      3.24      3.22
North East Scotland           3.15      2.27      2.47      1.96      2.19      2.12      2.28      2.72      2.83      3.06      3.22      2.94
North Eastern Ireland         3.60      2.74      2.77      2.20      2.24      2.34      2.14      2.94      3.29      3.62      3.42      3.33
North Highland                4.41      3.39      3.83      2.36      2.36      2.49      2.49      3.11      3.97      4.51      5.08      4.69
North West England            3.75      2.72      3.05      2.39      2.40      2.71      2.71      3.45      3.82      4.11      4.10      3.97
North Western Ireland         4.19      3.23      3.38      2.33      2.63      2.71      2.47      3.29      3.78      4.18      4.04      4.06
Northumbria                   2.60      2.04      2.22      1.83      1.93      1.97      2.06      2.58      2.38      2.37      2.79      2.56
Orkney and Shetland           3.94      2.87      3.30      2.14      1.75      1.85      1.93      2.51      3.76      4.11      4.47      4.21
Severn                        3.03      2.43      2.40      1.99      2.15      2.06      1.85      2.36      2.63      2.68      2.96      3.26
Solway                        4.34      3.15      3.35      2.31      2.49      2.58      2.73      3.53      4.24      4.49      4.32      4.27
South East England            2.69      1.97      2.09      1.76      1.75      1.80      1.53      1.87      2.32      2.67      2.92      2.73
South West England            3.88      3.10      2.82      2.06      2.15      2.10      1.97      2.45      2.79      3.28      3.64      3.92
Tay                           4.53      3.33      3.50      2.05      2.63      2.38      2.45      2.98      3.75      4.13      4.00      4.07
Thames                        2.10      1.60      1.80      1.65      1.76      1.81      1.57      1.84      1.99      2.05      2.19      2.26
Tweed                         3.01      2.28      2.45      1.86      2.19      2.08      2.27      2.73      2.81      2.90      2.98      2.87
West Highland                 6.13      4.57      5.47      3.20      2.94      3.44      3.82      4.39      6.36      6.92      7.08      6.69
Western Wales                 4.80      3.55      3.64      2.79      2.71      2.82      2.72      3.56      4.13      4.91      5.20      5.31
