ADMINISTRATIVE REGION          Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
East Midlands                87.89     86.25     81.72     79.28     78.12     77.88     77.86     79.42     81.46     86.07     87.70     88.34
East of England              87.97     85.80     81.72     79.06     78.23     78.02     78.00     78.86     81.14     85.81     87.93     88.43
East Scotland                85.45     84.23     80.78     78.48     78.29     78.54     79.92     82.18     83.20     85.41     85.97     85.37
London                       86.04     82.53     78.56     75.38     74.06     73.13     72.90     75.39     79.01     83.77     85.71     86.81
North East England           85.38     84.24     80.74     79.62     79.41     79.10     79.85     81.66     82.45     85.17     85.61     85.38
North Scotland               84.86     83.88     81.68     79.57     78.91     80.38     82.56     83.92     84.75     85.61     86.19     84.87
North West England           86.50     84.70     81.41     78.51     76.81     77.86     78.97     80.82     82.57     85.24     86.06     86.71
Northern Ireland             86.25     84.63     82.77     79.69     78.61     80.22     82.02     83.71     84.83     86.50     86.84     86.26
South East England           87.37     85.18     81.90     78.47     77.60     77.70     77.43     79.15     81.97     85.83     87.29     87.86
South West England           86.75     85.22     82.34     79.05     78.71     79.02     78.87     81.02     83.19     86.31     86.50     86.99
Wales                        86.55     85.15     82.35     79.26     78.35     79.25     79.88     81.57     83.32     85.88     86.00     86.56
West Midlands                86.73     84.95     81.03     77.85     76.53     76.60     76.67     78.71     81.51     85.66     86.65     87.17
West Scotland                85.98     84.27     82.31     79.17     78.54     80.22     82.17     83.56     84.76     85.79     85.78     85.96
Yorkshire & The Humber       86.78     85.43     81.37     79.53     78.27     78.01     78.49     80.43     81.82     85.49     86.47     86.93

RIVER BASIN                    Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
Anglian                      87.94     85.90     81.70     79.19     78.33     78.09     78.02     79.01     81.11     85.81     87.85     88.40
Argyll                       84.76     83.48     82.03     79.21     78.39     80.79     83.09     83.77     84.63     85.30     85.03     84.63
Clyde                        86.34     84.42     81.97     78.56     77.97     79.47     81.37     83.04     84.47     85.73     86.11     86.44
Dee                          86.47     84.98     81.26     78.47     77.02     77.62     78.19     80.13     82.17     85.50     86.42     86.64
Forth                        85.48     83.86     80.78     78.38     78.47     78.69     79.93     82.01     83.05     84.99     85.58     85.62
Humber                       87.08     85.63     81.40     79.24     77.94     77.74     78.05     79.92     81.72     85.70     86.81     87.37
Neagh Bann                   86.54     84.81     82.84     79.65     78.64     79.94     81.74     83.65     84.92     86.83     87.10     86.54
North East Scotland          84.88     84.04     80.32     78.42     77.90     78.12     79.75     82.09     82.83     84.96     85.68     84.63
North Eastern Ireland        87.05     84.74     83.14     80.76     80.16     80.88     82.30     84.46     84.71     85.83     85.81     86.96
North Highland               84.29     83.35     80.55     78.43     77.88     78.86     80.94     82.70     83.69     84.92     86.21     84.27
North West England           86.57     84.80     81.46     78.47     76.57     77.65     78.68     80.55     82.37     85.23     86.01     86.81
North Western Ireland        85.17     84.24     82.87     79.90     78.65     81.33     83.38     84.19     85.22     86.59     86.77     85.18
Northumbria                  85.41     84.25     80.72     79.53     79.23     78.96     79.73     81.51     82.37     85.13     85.61     85.40
Orkney and Shetland          84.66     84.45     83.13     82.62     84.17     85.52     87.53     88.70     87.24     86.40     85.09     84.32
Severn                       87.00     85.23     81.58     78.08     76.94     77.15     77.35     79.45     82.22     86.03     86.80     87.22
Solway                       86.87     85.04     82.52     79.39     78.58     79.69     81.25     83.16     84.74     86.33     86.60     86.89
South East England           87.20     85.05     82.60     79.08     78.59     78.88     78.74     80.23     82.67     85.91     86.83     87.66
South West England           86.52     85.17     82.59     79.45     79.39     79.76     79.67     81.73     83.63     86.40     86.28     86.76
Tay                          85.28     84.12     80.71     78.05     78.02     78.31     79.71     81.96     83.25     85.64     86.13     85.21
Thames                       87.48     85.11     81.11     77.74     76.56     76.38     76.02     77.99     81.15     85.64     87.52     88.00
Tweed                        86.56     85.00     81.57     79.14     78.72     79.14     80.30     82.55     83.86     86.12     86.83     86.64
West Highland                85.65     84.37     83.31     81.23     80.05     82.32     84.77     85.34     86.12     86.40     86.32     85.80
Western Wales                86.25     84.94     82.62     79.80     79.04     80.23     80.83     82.30     83.54     85.64     85.53     86.26
