ADMINISTRATIVE REGION          Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
East Midlands                 1.60      2.19      3.27      4.34      5.86      6.11      5.71      5.45      4.43      3.16      2.09      1.44
East of England               1.68      2.40      3.44      4.76      6.23      6.49      6.06      5.86      4.79      3.48      2.22      1.52
East Scotland                 1.20      2.27      3.13      4.53      5.24      5.35      4.94      4.57      3.47      2.56      1.74      1.00
London                        1.55      2.33      3.48      4.81      6.15      6.48      6.15      5.98      4.77      3.44      2.15      1.37
North East England            1.48      2.20      3.15      4.33      5.43      5.60      5.10      4.88      3.84      2.83      2.03      1.33
North Scotland                0.78      2.17      2.78      4.30      4.96      4.82      3.95      3.86      2.84      2.10      1.09      0.57
North West England            1.34      2.19      3.08      4.54      5.77      5.83      5.30      4.96      3.78      2.74      1.85      1.24
Northern Ireland              1.39      2.25      3.12      4.84      5.55      5.25      4.42      4.32      3.53      2.65      1.84      1.09
South East England            1.67      2.49      3.63      5.03      6.35      6.66      6.45      6.12      4.89      3.49      2.30      1.53
South West England            1.63      2.44      3.62      5.29      6.22      6.50      6.45      5.89      4.72      3.12      2.28      1.54
Wales                         1.35      2.27      3.21      4.85      5.85      5.79      5.57      5.19      4.04      2.81      1.88      1.22
West Midlands                 1.53      2.14      3.23      4.46      5.72      5.91      5.81      5.36      4.27      2.96      2.03      1.37
West Scotland                 1.12      2.19      2.89      4.76      5.61      5.56      4.88      4.52      3.30      2.41      1.64      0.97
Yorkshire & The Humber        1.44      2.08      3.15      4.27      5.66      5.80      5.29      5.07      4.09      2.89      1.93      1.27

RIVER BASIN                    Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
Anglian                       1.68      2.37      3.42      4.67      6.18      6.44      6.00      5.78      4.74      3.43      2.21      1.53
Argyll                        0.85      2.04      2.67      4.61      5.35      5.21      4.30      4.11      2.88      2.05      1.24      0.69
Clyde                         1.13      2.19      2.88      4.71      5.59      5.56      4.96      4.53      3.37      2.47      1.68      1.00
Dee                           1.35      2.15      3.12      4.50      5.80      5.72      5.33      4.97      4.00      2.86      1.79      1.14
Forth                         1.29      2.27      3.13      4.59      5.37      5.55      5.22      4.71      3.59      2.67      1.88      1.09
Humber                        1.48      2.08      3.16      4.25      5.68      5.86      5.44      5.18      4.16      2.94      1.97      1.31
Neagh Bann                    1.41      2.27      3.15      4.84      5.59      5.30      4.50      4.37      3.56      2.70      1.88      1.13
North East Scotland           1.12      2.35      3.16      4.41      5.10      5.13      4.62      4.40      3.37      2.55      1.54      0.89
North Eastern Ireland         1.48      2.33      3.23      5.01      5.91      5.66      4.87      4.69      3.74      2.79      1.95      1.19
North Highland                0.84      2.23      2.82      4.17      4.79      4.66      3.99      3.83      2.91      2.19      1.15      0.62
North West England            1.34      2.17      3.07      4.53      5.79      5.82      5.31      4.98      3.81      2.74      1.85      1.22
North Western Ireland         1.32      2.19      3.01      4.74      5.28      4.93      4.04      4.04      3.35      2.51      1.72      1.00
Northumbria                   1.46      2.17      3.13      4.30      5.42      5.59      5.09      4.87      3.83      2.81      2.01      1.32
Orkney and Shetland           0.76      1.98      2.91      4.51      5.08      5.22      4.18      4.16      3.19      2.13      1.04      0.48
Severn                        1.47      2.19      3.27      4.65      5.73      5.94      5.83      5.41      4.27      2.89      2.01      1.33
Solway                        1.32      2.28      3.03      4.71      5.71      5.76      5.20      4.82      3.54      2.63      1.87      1.19
South East England            1.75      2.63      3.77      5.27      6.60      6.89      6.68      6.37      5.06      3.63      2.42      1.64
South West England            1.65      2.48      3.66      5.42      6.30      6.54      6.51      5.93      4.75      3.14      2.31      1.56
Tay                           1.06      2.18      3.06      4.59      5.19      5.33      4.95      4.49      3.35      2.38      1.61      0.86
Thames                        1.60      2.36      3.50      4.82      6.12      6.46      6.22      5.91      4.74      3.37      2.19      1.45
Tweed                         1.32      2.21      3.01      4.40      5.27      5.39      4.99      4.65      3.51      2.65      1.93      1.19
West Highland                 0.78      2.18      2.79      4.54      5.30      5.01      3.80      3.82      2.74      2.02      1.05      0.57
Western Wales                 1.41      2.37      3.30      5.05      6.04      5.92      5.67      5.27      4.11      2.89      1.94      1.27
