ADMINISTRATIVE REGION          Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
East Midlands                 7.03      6.84      7.27      8.13      9.91     12.12     13.60     13.66     12.32     10.79      8.43      7.54
East of England               7.16      6.93      7.38      8.23     10.17     12.39     13.97     13.99     12.71     11.13      8.70      7.69
East Scotland                 6.22      6.05      6.42      7.13      8.57     10.54     11.87     11.94     10.65      9.23      7.17      6.61
London                        7.35      7.05      7.49      8.29     10.19     12.37     14.02     14.08     12.84     11.25      8.85      7.89
North East England            6.53      6.38      6.75      7.54      9.03     11.09     12.54     12.67     11.33      9.87      7.73      6.98
North Scotland                6.42      6.23      6.60      7.27      8.57     10.41     11.67     11.73     10.48      9.19      7.31      6.80
North West England            6.91      6.68      7.09      7.88      9.44     11.61     13.10     13.20     11.88     10.35      8.11      7.36
Northern Ireland              7.37      7.08      7.51      8.16      9.55     11.61     13.10     13.22     12.02     10.60      8.42      7.85
South East England            7.33      7.03      7.50      8.28     10.17     12.41     14.04     14.10     12.85     11.22      8.82      7.88
South West England            7.66      7.33      7.75      8.46     10.21     12.47     14.05     14.15     12.92     11.35      9.02      8.22
Wales                         7.17      6.84      7.29      8.05      9.63     11.87     13.43     13.45     12.17     10.65      8.41      7.68
West Midlands                 7.08      6.83      7.28      8.07      9.77     11.98     13.45     13.48     12.19     10.68      8.39      7.58
West Scotland                 6.82      6.55      6.96      7.63      9.06     11.09     12.47     12.57     11.37      9.94      7.81      7.25
Yorkshire & The Humber        6.79      6.61      7.03      7.86      9.47     11.64     13.14     13.25     11.87     10.34      8.08      7.25

RIVER BASIN                    Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
Anglian                       7.12      6.91      7.36      8.21     10.12     12.34     13.89     13.92     12.62     11.05      8.64      7.65
Argyll                        6.77      6.52      6.92      7.59      8.94     10.87     12.19     12.25     11.08      9.74      7.69      7.20
Clyde                         6.73      6.47      6.88      7.51      8.95     11.00     12.38     12.49     11.30      9.85      7.70      7.15
Dee                           6.95      6.69      7.14      7.92      9.50     11.67     13.16     13.17     11.86     10.38      8.15      7.42
Forth                         6.50      6.29      6.68      7.37      8.86     10.86     12.22     12.33     11.09      9.61      7.49      6.90
Humber                        6.89      6.70      7.13      7.96      9.63     11.81     13.30     13.39     12.03     10.51      8.21      7.37
Neagh Bann                    7.35      7.07      7.49      8.16      9.57     11.63     13.13     13.26     12.04     10.61      8.42      7.82
North East Scotland           6.01      5.86      6.23      6.96      8.34     10.27     11.56     11.61     10.27      8.90      6.91      6.38
North Eastern Ireland         7.42      7.13      7.55      8.22      9.64     11.68     13.19     13.36     12.15     10.71      8.52      7.90
North Highland                6.19      6.02      6.40      7.10      8.41     10.27     11.52     11.55     10.25      8.93      7.09      6.56
North West England            6.95      6.72      7.14      7.93      9.50     11.66     13.15     13.26     11.93     10.41      8.17      7.41
North Western Ireland         7.37      7.07      7.49      8.14      9.48     11.54     12.99     13.09     11.91     10.52      8.37      7.85
Northumbria                   6.53      6.38      6.75      7.54      9.03     11.09     12.55     12.67     11.34      9.88      7.73      6.98
Orkney and Shetland           6.86      6.71      6.95      7.50      8.96     10.68     11.94     12.32     11.06      9.82      7.84      7.21
Severn                        7.13      6.85      7.30      8.06      9.75     11.98     13.50     13.52     12.25     10.71      8.43      7.64
Solway                        6.79      6.53      6.94      7.67      9.16     11.29     12.75     12.84     11.57     10.06      7.88      7.22
South East England            7.44      7.12      7.60      8.39     10.33     12.59     14.28     14.36     13.09     11.42      8.97      7.99
South West England            7.79      7.45      7.86      8.56     10.30     12.58     14.18     14.29     13.05     11.48      9.14      8.35
Tay                           6.12      5.96      6.33      7.02      8.41     10.34     11.67     11.69     10.42      9.04      7.01      6.49
Thames                        7.24      6.96      7.40      8.18     10.04     12.24     13.82     13.86     12.64     11.06      8.69      7.78
Tweed                         6.32      6.13      6.50      7.23      8.69     10.74     12.15     12.23     10.95      9.48      7.38      6.75
West Highland                 6.88      6.67      7.05      7.71      8.98     10.79     12.06     12.13     10.95      9.71      7.78      7.29
Western Wales                 7.30      6.95      7.40      8.17      9.74     11.99     13.56     13.60     12.32     10.80      8.55      7.83
