,,,,,UKCP09,,,UKCP18,,,Difference,,
timeslice,variable,average,period,region,10%,50%,90%,10%,50%,90%,10%,50%,90%
2010-2039,temp,dmax,jan,Channel Islands,-0.027218075,0.94823414,2.00801,-0.2914701,0.5707203,1.4802141,-0.264252025,-0.37751384,-0.5277959
2010-2039,temp,dmax,jan,East Midlands,0.056989994,1.0614576,2.2016726,-0.18768352,0.72676474,1.7111878,-0.244673514,-0.33469286,-0.4904848
2010-2039,temp,dmax,jan,East of England,0.075640135,1.0845904,2.2494016,-0.19950005,0.70837533,1.6820086,-0.275140185,-0.37621507,-0.567393
2010-2039,temp,dmax,jan,Eastern Scotland,-0.35132104,0.8970994,2.20227,-0.19774777,0.74288034,1.7052206,0.15357327,-0.15421906,-0.4970494
2010-2039,temp,dmax,jan,Isle of Man,-0.055795442,0.8435118,1.8024194,-0.11629534,0.6667351,1.4992596,-0.060499898,-0.1767767,-0.3031598
2010-2039,temp,dmax,jan,London,0.0605859,1.0755564,2.23554,-0.2168853,0.7021531,1.6853749,-0.2774712,-0.3734033,-0.5501651
2010-2039,temp,dmax,jan,North East England,-0.065544724,1.0073874,2.1359854,-0.14516519,0.76524997,1.7389677,-0.079620466,-0.24213743,-0.3970177
2010-2039,temp,dmax,jan,North West England,-0.07208027,0.97352576,2.0730371,-0.1751656,0.72882336,1.7029716,-0.10308533,-0.2447024,-0.3700655
2010-2039,temp,dmax,jan,Northern Ireland,-0.045749914,0.8943547,1.8899772,-0.13763726,0.7066462,1.6134092,-0.091887346,-0.1877085,-0.276568
2010-2039,temp,dmax,jan,Northern Scotland,-0.3425325,0.83502185,2.0618823,-0.17726643,0.7389561,1.6804817,0.16526607,-0.09606575,-0.3814006
2010-2039,temp,dmax,jan,South East England,0.07081115,1.0720556,2.2145047,-0.22765028,0.6924551,1.6764581,-0.29846143,-0.3796005,-0.5380466
2010-2039,temp,dmax,jan,South West England,0.016898047,0.98895013,2.0659955,-0.2424572,0.6542322,1.6069684,-0.259355247,-0.33471793,-0.4590271
2010-2039,temp,dmax,jan,Wales,0.016930573,0.9797423,2.0663512,-0.21072298,0.69128865,1.6555438,-0.227653553,-0.28845365,-0.4108074
2010-2039,temp,dmax,jan,West Midlands,0.018959422,1.0176758,2.143869,-0.21300705,0.7181854,1.7173005,-0.231966472,-0.2994904,-0.4265685
2010-2039,temp,dmax,jan,Western Scotland,-0.06735277,0.96810776,2.0431237,-0.10532029,0.784927,1.7418021,-0.03796752,-0.18318076,-0.3013216
2010-2039,temp,dmax,jan,Yorkshire and Humberside,0.048641637,1.0759499,2.2222404,-0.16860434,0.74295866,1.7240634,-0.217245977,-0.33299124,-0.498177
2010-2039,temp,dmean,jan,Channel Islands,0.14984228,1.1202327,2.1827774,-0.39533588,0.6155765,1.6641673,-0.54517816,-0.5046562,-0.5186101
2010-2039,temp,dmean,jan,East Midlands,0.18057783,1.2133858,2.3484726,-0.17069274,0.82042855,1.8896787,-0.35127057,-0.39295725,-0.4587939
2010-2039,temp,dmean,jan,East of England,0.19549641,1.2420313,2.3947992,-0.17520463,0.8164567,1.8799868,-0.37070104,-0.4255746,-0.5148124
2010-2039,temp,dmean,jan,Eastern Scotland,-0.30714878,0.936442,2.2263634,-0.30069724,0.789849,1.89815,0.00645154,-0.146593,-0.3282134
2010-2039,temp,dmean,jan,Isle of Man,0.053926896,0.9577837,1.9342033,-0.19434492,0.66251904,1.590272,-0.248271816,-0.29526466,-0.3439313
2010-2039,temp,dmean,jan,London,0.19855377,1.2420634,2.3922925,-0.18931901,0.82395476,1.9017863,-0.38787278,-0.41810864,-0.4905062
2010-2039,temp,dmean,jan,North East England,0.0546793,1.0829418,2.1925445,-0.22987196,0.73654884,1.789466,-0.28455126,-0.34639296,-0.4030785
2010-2039,temp,dmean,jan,North West England,0.06448042,1.0663078,2.1494367,-0.26331872,0.7133212,1.7650362,-0.32779914,-0.3529866,-0.3844005
2010-2039,temp,dmean,jan,Northern Ireland,0.026145281,0.9262469,1.8868266,-0.22023058,0.6795602,1.6441911,-0.246375861,-0.2466867,-0.2426355
2010-2039,temp,dmean,jan,Northern Scotland,-0.28982064,0.8925377,2.1192172,-0.28430778,0.7912594,1.8782005,0.00551286,-0.1012783,-0.2410167
2010-2039,temp,dmean,jan,South East England,0.19525202,1.2374705,2.385605,-0.20244245,0.8166099,1.8963295,-0.39769447,-0.4208606,-0.4892755
2010-2039,temp,dmean,jan,South West England,0.19581158,1.1424729,2.1907544,-0.3634739,0.668942,1.7544246,-0.55928548,-0.4735309,-0.4363298
2010-2039,temp,dmean,jan,Wales,0.19226852,1.1219547,2.1514306,-0.30983284,0.6909442,1.7630736,-0.50210136,-0.4310105,-0.388357
2010-2039,temp,dmean,jan,West Midlands,0.19730204,1.1603822,2.2263281,-0.31605393,0.7209309,1.8275625,-0.51335597,-0.4394513,-0.3987656
2010-2039,temp,dmean,jan,Western Scotland,0.056792367,1.0571569,2.1373136,-0.18568793,0.76487666,1.7962416,-0.242480297,-0.29228024,-0.341072
2010-2039,temp,dmean,jan,Yorkshire and Humberside,0.16904235,1.1992257,2.3287966,-0.14886744,0.8322708,1.9028772,-0.31790979,-0.3669549,-0.4259194
2010-2039,temp,dmin,jan,Channel Islands,0.34840232,1.3485017,2.4700692,-0.4356513,0.6265394,1.6936204,-0.78405362,-0.7219623,-0.7764488
2010-2039,temp,dmin,jan,East Midlands,0.28517228,1.3301548,2.4803324,-0.301695,0.71756333,1.7572817,-0.58686728,-0.61259147,-0.7230507
2010-2039,temp,dmin,jan,East of England,0.32697144,1.3737333,2.5409036,-0.19734153,0.77556926,1.8021985,-0.52431297,-0.59816404,-0.7387051
2010-2039,temp,dmin,jan,Eastern Scotland,-0.23357274,0.96692336,2.2245526,-0.33131957,0.86085826,1.9906261,-0.09774683,-0.1060651,-0.2339265
2010-2039,temp,dmin,jan,Isle of Man,0.10946959,1.0424418,2.0739894,-0.2708169,0.66598654,1.6142366,-0.38028649,-0.37645526,-0.4597528
2010-2039,temp,dmin,jan,London,0.326804,1.379575,2.5621352,-0.32875875,0.71478343,1.7818379,-0.65556275,-0.66479157,-0.7802973
2010-2039,temp,dmin,jan,North East England,0.081404604,1.1281953,2.241178,-0.2721087,0.74603987,1.7595088,-0.353513304,-0.38215543,-0.4816692
2010-2039,temp,dmin,jan,North West England,0.10418648,1.13379,2.2438378,-0.30554894,0.723882,1.7702287,-0.40973542,-0.409908,-0.4736091
2010-2039,temp,dmin,jan,Northern Ireland,0.0773651,1.0458518,2.115765,-0.27613494,0.6741942,1.6392393,-0.35350004,-0.3716576,-0.4765257
2010-2039,temp,dmin,jan,Northern Scotland,-0.2501259,0.94846994,2.163694,-0.32121065,0.86437464,1.9959221,-0.07108475,-0.0840953,-0.1677719
2010-2039,temp,dmin,jan,South East England,0.32516596,1.3937192,2.5656922,-0.334417,0.71115977,1.785655,-0.65958296,-0.68255943,-0.7800372
